,NAME,Total Population,"Not Hispanic, White","Not Hispanic, Black","Not Hispanic, American Indian","Not Hispanic, Asian","Not Hispanic, Native Hawaiian","Not Hispanic, Other","Not Hispanic, Two or More Races",Hispanic,Median HH Income,state,county,tract
0,"Census Tract 27.01, Philadelphia County, Pennsylvania",4098.0,2389.0,368.0,0.0,429.0,0.0,38.0,89.0,785.0,80470.0,42,101,002701
1,"Census Tract 27.02, Philadelphia County, Pennsylvania",4300.0,3563.0,124.0,0.0,167.0,0.0,0.0,121.0,325.0,76060.0,42,101,002702
2,"Census Tract 28.01, Philadelphia County, Pennsylvania",4452.0,1620.0,294.0,23.0,1232.0,0.0,0.0,80.0,1203.0,65847.0,42,101,002801
3,"Census Tract 28.02, Philadelphia County, Pennsylvania",5772.0,3429.0,221.0,0.0,1351.0,0.0,0.0,86.0,685.0,67585.0,42,101,002802
4,"Census Tract 29, Philadelphia County, Pennsylvania",3762.0,2728.0,50.0,0.0,252.0,0.0,0.0,188.0,544.0,66932.0,42,101,002900
5,"Census Tract 30.01, Philadelphia County, Pennsylvania",3722.0,1295.0,718.0,0.0,1325.0,0.0,1.0,172.0,211.0,50536.0,42,101,003001
6,"Census Tract 30.02, Philadelphia County, Pennsylvania",2961.0,1075.0,1221.0,13.0,275.0,0.0,30.0,74.0,273.0,54286.0,42,101,003002
7,"Census Tract 31, Philadelphia County, Pennsylvania",4575.0,1095.0,2796.0,56.0,140.0,0.0,0.0,116.0,372.0,57250.0,42,101,003100
8,"Census Tract 32, Philadelphia County, Pennsylvania",4100.0,467.0,2731.0,0.0,387.0,0.0,5.0,202.0,308.0,43289.0,42,101,003200
9,"Census Tract 33, Philadelphia County, Pennsylvania",6417.0,2364.0,2640.0,0.0,440.0,0.0,0.0,66.0,907.0,53678.0,42,101,003300
10,"Census Tract 36, Philadelphia County, Pennsylvania",7109.0,1537.0,4068.0,74.0,1263.0,0.0,0.0,70.0,97.0,36861.0,42,101,003600
11,"Census Tract 37.01, Philadelphia County, Pennsylvania",5617.0,962.0,3069.0,67.0,1043.0,0.0,0.0,31.0,445.0,39340.0,42,101,003701
12,"Census Tract 37.02, Philadelphia County, Pennsylvania",3922.0,746.0,1795.0,61.0,1005.0,0.0,0.0,133.0,182.0,40202.0,42,101,003702
13,"Census Tract 38, Philadelphia County, Pennsylvania",3912.0,3335.0,37.0,0.0,261.0,0.0,0.0,83.0,196.0,75682.0,42,101,003800
14,"Census Tract 39.01, Philadelphia County, Pennsylvania",6429.0,4164.0,715.0,0.0,903.0,0.0,0.0,39.0,608.0,51932.0,42,101,003901
15,"Census Tract 39.02, Philadelphia County, Pennsylvania",5682.0,5453.0,0.0,33.0,83.0,0.0,0.0,86.0,27.0,66179.0,42,101,003902
16,"Census Tract 40.01, Philadelphia County, Pennsylvania",4037.0,2660.0,114.0,0.0,303.0,0.0,0.0,89.0,871.0,61542.0,42,101,004001
17,"Census Tract 40.02, Philadelphia County, Pennsylvania",5247.0,4119.0,199.0,0.0,569.0,0.0,0.0,274.0,86.0,63726.0,42,101,004002
18,"Census Tract 41.01, Philadelphia County, Pennsylvania",4952.0,1420.0,557.0,0.0,1698.0,0.0,0.0,25.0,1252.0,36365.0,42,101,004101
19,"Census Tract 41.03, Philadelphia County, Pennsylvania",5244.0,449.0,90.0,0.0,1951.0,0.0,0.0,495.0,2259.0,47905.0,42,101,004103
20,"Census Tract 41.04, Philadelphia County, Pennsylvania",4212.0,1154.0,0.0,0.0,2143.0,7.0,0.0,13.0,895.0,47409.0,42,101,004104
21,"Census Tract 42.01, Philadelphia County, Pennsylvania",5374.0,4034.0,34.0,0.0,1211.0,0.0,0.0,16.0,79.0,61633.0,42,101,004201
22,"Census Tract 42.02, Philadelphia County, Pennsylvania",5763.0,3917.0,140.0,7.0,881.0,0.0,0.0,161.0,657.0,61858.0,42,101,004202
23,"Census Tract 54, Philadelphia County, Pennsylvania",1552.0,233.0,1101.0,0.0,87.0,0.0,0.0,41.0,90.0,57333.0,42,101,005400
24,"Census Tract 55, Philadelphia County, Pennsylvania",6172.0,836.0,4701.0,17.0,120.0,0.0,0.0,60.0,438.0,61417.0,42,101,005500
25,"Census Tract 56, Philadelphia County, Pennsylvania",1239.0,58.0,1080.0,0.0,4.0,0.0,0.0,83.0,14.0,42031.0,42,101,005600
26,"Census Tract 60, Philadelphia County, Pennsylvania",6370.0,449.0,4583.0,0.0,474.0,0.0,64.0,427.0,373.0,43235.0,42,101,006000
27,"Census Tract 61, Philadelphia County, Pennsylvania",2776.0,143.0,2449.0,0.0,174.0,0.0,0.0,0.0,10.0,35361.0,42,101,006100
28,"Census Tract 62, Philadelphia County, Pennsylvania",4672.0,209.0,4189.0,0.0,149.0,0.0,0.0,0.0,125.0,32521.0,42,101,006200
29,"Census Tract 63, Philadelphia County, Pennsylvania",4599.0,154.0,3570.0,0.0,409.0,0.0,0.0,80.0,386.0,28681.0,42,101,006300
30,"Census Tract 64, Philadelphia County, Pennsylvania",4801.0,306.0,4094.0,175.0,147.0,0.0,0.0,30.0,49.0,28981.0,42,101,006400
31,"Census Tract 65, Philadelphia County, Pennsylvania",3867.0,15.0,3797.0,0.0,0.0,9.0,0.0,46.0,0.0,36974.0,42,101,006500
